"CustomerID","PersonID","StoreID","TerritoryID","AccountNumber","rowguid","ModifiedDate","ExecutionID","ExecutionDate","ExecutionMonth"
"1","","934","1","AW00000001","{3F5AE95E-B87D-4AED-95B4-C3797AFCB74F}","9/12/2014 11:15:07 AM","0","8/28/2019 1:09:39 PM","8"
"2","","1028","1","AW00000002","{E552F657-A9AF-4A7D-A645-C429D6E02491}","9/12/2014 11:15:07 AM","0","8/28/2019 1:09:39 PM","8"
"3","","642","4","AW00000003","{130774B1-DB21-4EF3-98C8-C104BCD6ED6D}","9/12/2014 11:15:07 AM","0","8/28/2019 1:09:39 PM","8"
"4","","932","4","AW00000004","{FF862851-1DAA-4044-BE7C-3E85583C054D}","9/12/2014 11:15:07 AM","0","8/28/2019 1:09:39 PM","8"
"5","","1026","4","AW00000005","{83905BDC-6F5E-4F71-B162-C98DA069F38A}","9/12/2014 11:15:07 AM","0","8/28/2019 1:09:39 PM","8"
"6","","644","4","AW00000006","{1A92DF88-BFA2-467D-BD54-FCB9E647FDD7}","9/12/2014 11:15:07 AM","0","8/28/2019 1:09:39 PM","8"
"7","","930","1","AW00000007","{03E9273E-B193-448E-9823-FE0C44AEED78}","9/12/2014 11:15:07 AM","0","8/28/2019 1:09:39 PM","8"
"8","","1024","5","AW00000008","{801368B1-4323-4BFA-8BEA-5B5B1E4BD4A0}","9/12/2014 11:15:07 AM","0","8/28/2019 1:09:39 PM","8"
"9","","620","5","AW00000009","{B900BB7F-23C3-481D-80DA-C49A5BD6F772}","9/12/2014 11:15:07 AM","0","8/28/2019 1:09:39 PM","8"
"10","","928","6","AW00000010","{CDB6698D-2FF1-4FBA-8F22-60AD1D11DABD}","9/12/2014 11:15:07 AM","0","8/28/2019 1:09:39 PM","8"
"11","","1022","6","AW00000011","{750F3495-59C4-48A0-80E1-E37EC60E77D9}","9/12/2014 11:15:07 AM","0","8/28/2019 1:09:39 PM","8"
"12","","622","6","AW00000012","{947BCAF1-1F32-44F3-B9C3-0011F95FBE54}","9/12/2014 11:15:07 AM","0","8/28/2019 1:09:39 PM","8"
"13","","434","7","AW00000013","{B0FA5854-2511-439B-A7AC-50C9C460B175}","9/12/2014 11:15:07 AM","0","8/28/2019 1:09:39 PM","8"
"14","","1020","8","AW00000014","{2F96BEDC-723D-468F-834B-B2B8AE79C849}","9/12/2014 11:15:07 AM","0","8/28/2019 1:09:39 PM","8"
"15","","624","9","AW00000015","{0340737B-D4FA-4795-93AA-CAEB8371BCF9}","9/12/2014 11:15:07 AM","0","8/28/2019 1:09:39 PM","8"
"16","","432","10","AW00000016","{C9381589-D31C-4EFE-8978-8D3449EB1F0F}","9/12/2014 11:15:07 AM","0","8/28/2019 1:09:39 PM","8"
